UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,temp_diff,low_temp_diff_flag,high_torque_flag,high_tool_wear_flag,ml_risk_score,ml_predicted_failure,ml_risk_tier
1,M14860,M,298.1,308.6,1551,42.8,0,0,0,0,0,0,0,10.5,0,0,0,0.0005159711299461436,0,Low
2,L47181,L,298.2,308.7,1408,46.3,3,0,0,0,0,0,0,10.5,0,0,0,0.01967889823052903,0,Low
3,L47182,L,298.1,308.5,1498,49.4,5,0,0,0,0,0,0,10.399999999999975,0,1,0,0.0181156489426184,0,Low
4,L47183,L,298.2,308.6,1433,39.5,7,0,0,0,0,0,0,10.400000000000034,0,0,0,0.009675179504927304,0,Low
5,L47184,L,298.2,308.7,1408,40.0,9,0,0,0,0,0,0,10.5,0,0,0,0.009675179504927304,0,Low
6,M14865,M,298.1,308.6,1425,41.9,11,0,0,0,0,0,0,10.5,0,0,0,0.012399686372795008,0,Low
7,L47186,L,298.1,308.6,1558,42.4,14,0,0,0,0,0,0,10.5,0,0,0,0.00026358670666586933,0,Low
8,L47187,L,298.1,308.6,1527,40.2,16,0,0,0,0,0,0,10.5,0,0,0,0.00026358670666586933,0,Low
9,M14868,M,298.3,308.7,1667,28.6,18,0,0,0,0,0,0,10.399999999999975,0,0,0,0.0015033145484942866,0,Low
10,M14869,M,298.5,309.0,1741,28.0,21,0,0,0,0,0,0,10.5,0,0,0,0.0015033145484942866,0,Low
11,H29424,H,298.4,308.9,1782,23.9,24,0,0,0,0,0,0,10.5,0,0,0,0.0018120653416233304,0,Low
12,H29425,H,298.6,309.1,1423,44.3,29,0,0,0,0,0,0,10.5,0,0,0,0.011874178711145423,0,Low
13,M14872,M,298.6,309.1,1339,51.1,34,0,0,0,0,0,0,10.5,0,1,0,0.006794311610680794,0,Low
14,M14873,M,298.6,309.2,1742,30.0,37,0,0,0,0,0,0,10.599999999999966,0,0,0,0.009816547498966904,0,Low
15,L47194,L,298.6,309.2,2035,19.6,40,0,0,0,0,0,0,10.599999999999966,0,0,0,0.006291468426599318,0,Low
